"NBa7we src","d4r55","RfnDt","RfnDt 2","eaLgGf src","hCCjke src","hCCjke src 2","hCCjke src 3","hCCjke src 4","hCCjke src 5","rsqaWe","wiI7pd","w8nwRe","RfDO5c 2"
"https://lh3.googleusercontent.com/a-/AD_cMMRAlaCXHP-kWEV_zQ3PB9ScCMaY4gm54SPoYkchn3p8zi0=w36-h36-p-rp-mo-ba5-br100","Thinesh Mathu","· 75 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","4 months ago","Highly overrated. Only Pongal, Idly & Vada is available in the morning. Though the food was served hot and fresh, the taste was okay- nothing special. The price is also high considering the quantity of food, service and ambience. They even …","More",""
"https://lh3.googleusercontent.com/a-/AD_cMMSUVNHhrQ-v_o5QUPfYzofFMYyQL15pCGmOyErZ8Sz4if8=w36-h36-p-rp-mo-ba4-br100","amar p","· 61 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","3 weeks ago","The food was tasty here. We tried idly, ghee podi, pongal, vada with thick chutney served on a banana leaf. No cutlery and bowls for sambar and Chutneys. You gotta manage the flowing sambar and experience everything mixed together with your …","More",""
"https://lh3.googleusercontent.com/a-/AD_cMMTOUFMbibh_nxmubLUO5SmqZBcODBBbLcJ3mNPb2VUlP9o=w36-h36-p-rp-mo-ba4-br100","Nithin Kriz","· 80 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","5 months ago","A highly hyped place in the social media arena, especially from the chennai makkal on many platforms.. …","More",""
"https://lh3.googleusercontent.com/a-/AD_cMMSf-Cpmhpxu5k6I1i4_T5lmTcLdweEkVUCGVHK--XWFn-e8=w36-h36-p-rp-mo-ba5-br100","M Yunes","· 422 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","3 weeks ago","Excellent breakfast spot. Need to be there early as only 16 ppl can sit in at a time. Can order via swiggy or zomato too. Staffs are friendly and caring. Must try their vadai, simply delicious. …","More",""
"https://lh3.googleusercontent.com/a-/AD_cMMQ-UMqVqTk69F0xGk3K3YXKB2Fc0UXZsToCHfAF50ct3bTZ=w36-h36-p-rp-mo-ba4-br100","Bharath Sundararaman","· 34 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","10 months ago","Awesome food. Go to the beach for sunrise and come to this place for breakfast.

Vadai , Pongal , Idly and Filter Coffee. 🔥 …","More",""
"https://lh3.googleusercontent.com/a-/AD_cMMSX2Oxs8YixuQgNaiA1uhi3WlIAwsG6OVH5qxpnJkHqrQsq=w36-h36-p-rp-mo-ba5-br100","Roopak Venkatakrishnan","· 234 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","6 months ago","Few places are this good. I come here without fail everytime i am in chennai and in 10+ years this place hasnt dropped in quality. …","More",""
"https://lh3.googleusercontent.com/a-/AD_cMMStpQOA-pH1bjUAbnaauqXrmrCpD2Tcqar0xg4pi2g2AA0=w36-h36-p-rp-mo-ba4-br100","Rajiv Gopinath","· 28 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","3 months ago","Classic veg breakfast to have in Chennai. The waiting time at 730 am was just 5 min. The breakfast on banana leaf moves like clockwork.... the pongal first, then the vadas, then the idli's. The thick chutney was worth it, as was the ghee. They offer spoons as well. Do try when you are at Chennai.","More",""
"https://lh3.googleusercontent.com/a-/AD_cMMRwge6Oye3IiwXjaRbfEePC710OSittM5KBRqn3OeTJleM=w36-h36-p-rp-mo-ba4-br100","Dharbaranyam Senthilkumar","· 190 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","6 months ago","Oldest restaurant, good in taste. Don’t expect and compare with other restaurants.
If Rayar comes out with a little big size or open new branch then we could compare. As of now all the best.","More",""
"https://lh3.googleusercontent.com/a-/AD_cMMTu7-NuKmljHbMuWrjkanVeGgUGYZLUHccsj9LEJQ5s1I8r=w36-h36-p-rp-mo-ba4-br100","Nithin J","· 99 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","5 months ago","Go for tasty idllies and Hot Medu Vada served with Getti Chutney (Extra Cost), Podi and Ghee (Extra Cost) Green Chilly-Kara Chutney, Sambar.
1)Addition to Idlies they serve Pongal. Coffee is the only beverage available …","More",""
"https://lh3.googleusercontent.com/a-/AD_cMMSAfiQmhDtU4S_0DDORSZt36pSi1M_0TlHhonSt5tJajZ_N=w36-h36-p-rp-mo-ba4-br100","Harish.P.Gautham","· 68 reviews","Local Guide","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","3 weeks ago","A very nice food joint for breakfast , hot hot idlies, Wada, Pongal with sambar and chutney served on plantain leaf , not but not the least good hot madras coffee …","More",""
